order_item_pk,date_id,order_id,customer_id,product_id,channel_id,shipping_province_id,quantity,line_total,total_amount,status
1,20241126,1000000000,356,2,1,1,2,30000.0,63636.0,FULFILLED
2,20241126,1000000000,356,1,1,1,2,21600.0,63636.0,FULFILLED
3,20240131,1000000001,601,1,1,1,1,11760.0,78146.4,CREATED
4,20240131,1000000001,601,2,1,1,2,29400.0,78146.4,CREATED
5,20240131,1000000001,601,1,1,1,2,22680.0,78146.4,CREATED
6,20250226,1000000002,1234,1,1,1,1,11760.0,32064.6,FULFILLED
7,20250226,1000000002,1234,2,1,1,1,13500.0,32064.6,FULFILLED
8,20250301,1000000003,156,1,1,1,1,10800.0,30855.0,FULFILLED
9,20250301,1000000003,156,2,1,1,1,14700.0,30855.0,FULFILLED
10,20240330,1000000004,616,2,2,4,2,29925.0,53451.75,FULFILLED
11,20240330,1000000004,616,2,2,4,1,14250.0,53451.75,FULFILLED
12,20240312,1000000005,614,1,2,2,2,24000.0,29040.0,FULFILLED
13,20250715,1000000006,188,2,1,2,1,14250.0,18442.5,REFUNDED
14,20241111,1000000007,17,2,1,1,1,13500.0,17535.0,FULFILLED
15,20240825,1000000008,1148,1,1,1,3,36000.0,109011.0,FULFILLED
16,20240825,1000000008,1148,2,1,1,3,40500.0,109011.0,FULFILLED
17,20240825,1000000008,1148,1,1,1,1,12600.0,109011.0,FULFILLED
18,20240330,1000000009,1037,2,1,3,1,12825.0,16718.25,PAID
19,20240313,1000000010,1336,2,2,1,1,14700.0,17787.0,REFUNDED
20,20250617,1000000011,1239,2,2,4,1,14700.0,41309.4,FULFILLED
21,20250617,1000000011,1239,1,2,4,2,19440.0,41309.4,FULFILLED
22,20240809,1000000012,1426,1,2,3,3,35280.0,42688.8,FULFILLED
23,20250323,1000000013,862,2,2,1,3,44887.5,123283.88,PAID
24,20250323,1000000013,862,1,2,1,3,34200.0,123283.88,PAID
25,20250323,1000000013,862,1,2,1,2,22800.0,123283.88,PAID
26,20250818,1000000014,181,1,1,1,1,11760.0,15129.6,PAID
