shipment_pk,shipped_date_id,order_id,shipping_province_id,carrier,status,delivery_time_days
1,20241127,1000000000,1,Correo Argentino,DELIVERED,3.32693287037037
2,20240201,1000000001,1,Correo Argentino,READY,4.041712962962963
3,20250227,1000000002,1,Correo Argentino,DELIVERED,2.819259259259259
4,20250302,1000000003,1,Correo Argentino,DELIVERED,4.733055555555556
5,20240330,1000000004,4,PICKUP,DELIVERED,1.1156944444444445
6,20240312,1000000005,2,PICKUP,DELIVERED,1.8712384259259258
7,20250716,1000000006,2,Correo Argentino,DELIVERED,4.95550925925926
8,20241112,1000000007,1,Correo Argentino,DELIVERED,3.84375
9,20240826,1000000008,1,Correo Argentino,DELIVERED,2.145462962962963
10,20240331,1000000009,3,Correo Argentino,SHIPPED,3.4408101851851853
11,20240313,1000000010,1,PICKUP,DELIVERED,1.0969791666666666
12,20250617,1000000011,4,PICKUP,DELIVERED,1.1572800925925926
13,20240809,1000000012,3,PICKUP,DELIVERED,1.6100578703703703
14,20250323,1000000013,1,PICKUP,SHIPPED,1.476550925925926
15,20250819,1000000014,1,Correo Argentino,SHIPPED,5.5320833333333335
16,0,1000000015,1,Correo Argentino,CANCELLED,
17,20250828,1000000016,1,Correo Argentino,DELIVERED,5.948981481481481
18,20250219,1000000017,2,PICKUP,DELIVERED,1.6083796296296295
19,0,1000000018,1,Correo Argentino,CANCELLED,
20,20250422,1000000019,1,Correo Argentino,DELIVERED,4.175208333333333
21,20240507,1000000020,1,Correo Argentino,DELIVERED,4.066944444444444
22,20250924,1000000021,1,Correo Argentino,DELIVERED,2.920729166666667
23,20240331,1000000022,1,PICKUP,DELIVERED,1.094837962962963
24,20250705,1000000023,3,PICKUP,DELIVERED,1.8214930555555555
25,20250302,1000000024,2,PICKUP,DELIVERED,1.6646412037037037
26,20250827,1000000025,2,Correo Argentino,DELIVERED,4.290104166666667
27,20241213,1000000026,1,Correo Argentino,DELIVERED,3.999861111111111
28,20241203,1000000027,1,Correo Argentino,DELIVERED,3.0729050925925927
29,20240518,1000000028,1,Correo Argentino,DELIVERED,4.257719907407408
30,20250915,1000000029,2,Correo Argentino,DELIVERED,5.113761574074074
31,20250609,1000000030,4,PICKUP,SHIPPED,1.7936921296296295
32,20250510,1000000031,4,PICKUP,SHIPPED,1.4688310185185185
33,20250316,1000000032,1,Correo Argentino,DELIVERED,2.6092824074074072
34,20240608,1000000033,4,PICKUP,DELIVERED,1.1410185185185184
35,20241117,1000000034,2,PICKUP,DELIVERED,1.0586921296296297
36,20240112,1000000035,1,PICKUP,DELIVERED,1.2461458333333333
37,20240925,1000000036,2,Correo Argentino,DELIVERED,3.7911689814814813
38,20240127,1000000037,1,Correo Argentino,DELIVERED,4.005497685185185
39,20240202,1000000038,1,PICKUP,DELIVERED,1.9370486111111112
40,20240523,1000000039,1,PICKUP,DELIVERED,1.1962152777777777
41,0,1000000040,1,Correo Argentino,CANCELLED,
42,20240114,1000000041,3,PICKUP,DELIVERED,1.4160069444444445
43,20240928,1000000042,1,Correo Argentino,DELIVERED,2.8872222222222224
44,20240522,1000000043,1,Correo Argentino,SHIPPED,5.448738425925926
45,20250903,1000000044,2,Correo Argentino,DELIVERED,2.5223958333333334
46,20240202,1000000045,1,Correo Argentino,DELIVERED,5.551712962962963
47,20240113,1000000046,4,Correo Argentino,DELIVERED,4.125902777777778
48,20240308,1000000047,2,PICKUP,DELIVERED,1.3705671296296296
49,20240913,1000000048,2,PICKUP,READY,1.6742708333333334
50,20240811,1000000049,2,PICKUP,DELIVERED,1.8165972222222222
51,20240726,1000000050,4,Correo Argentino,DELIVERED,4.017361111111111
52,20240916,1000000051,1,Correo Argentino,DELIVERED,3.257326388888889
53,20241105,1000000052,1,Correo Argentino,DELIVERED,2.133842592592593
54,0,1000000053,1,Correo Argentino,CANCELLED,
55,20240316,1000000054,4,PICKUP,SHIPPED,1.097210648148148
56,20250723,1000000055,1,PICKUP,SHIPPED,1.8519097222222223
57,20250413,1000000056,1,Correo Argentino,DELIVERED,3.6508680555555557
58,20250221,1000000057,4,PICKUP,DELIVERED,1.2438888888888888
59,0,1000000058,3,Correo Argentino,CANCELLED,
60,20240702,1000000059,2,Correo Argentino,DELIVERED,5.560150462962963
61,0,1000000060,4,PICKUP,CANCELLED,
62,20250302,1000000061,1,Correo Argentino,DELIVERED,3.4312037037037038
63,20241223,1000000062,3,PICKUP,DELIVERED,1.5017129629629629
64,20240531,1000000063,1,Correo Argentino,DELIVERED,2.4291435185185186
65,20250305,1000000064,1,Correo Argentino,DELIVERED,2.614895833333333
66,20240918,1000000065,1,Correo Argentino,DELIVERED,4.0303356481481485
67,0,1000000066,1,Correo Argentino,CANCELLED,
68,20250412,1000000067,1,Correo Argentino,DELIVERED,5.6828125
69,20241202,1000000068,1,Correo Argentino,SHIPPED,3.453912037037037
70,20240613,1000000069,1,Correo Argentino,DELIVERED,5.401909722222222
71,20250726,1000000070,3,Correo Argentino,SHIPPED,4.993807870370371
72,20240722,1000000071,3,PICKUP,DELIVERED,1.7500694444444445
73,20240203,1000000072,2,Correo Argentino,SHIPPED,5.347418981481481
74,20241208,1000000073,2,Correo Argentino,SHIPPED,3.8877199074074076
75,20241215,1000000074,4,Correo Argentino,DELIVERED,6.195162037037037
76,20250323,1000000075,2,Correo Argentino,DELIVERED,4.761342592592593
77,20240302,1000000076,1,Correo Argentino,DELIVERED,2.431377314814815
78,20241204,1000000077,1,PICKUP,SHIPPED,1.9439467592592592
79,20250110,1000000078,1,Correo Argentino,DELIVERED,3.9051157407407406
80,20250917,1000000079,1,Correo Argentino,SHIPPED,4.122442129629629
81,20241112,1000000080,1,Correo Argentino,DELIVERED,5.269699074074074
82,20250203,1000000081,1,Correo Argentino,DELIVERED,3.0733217592592594
83,20250922,1000000082,1,Correo Argentino,DELIVERED,3.4358217592592593
84,20240211,1000000083,1,Correo Argentino,DELIVERED,4.741076388888889
85,20241126,1000000084,2,Correo Argentino,SHIPPED,3.6016666666666666
86,20250302,1000000085,1,Correo Argentino,DELIVERED,2.1238888888888887
87,20250819,1000000086,1,Correo Argentino,DELIVERED,2.453101851851852
88,0,1000000087,4,Correo Argentino,CANCELLED,
89,20240204,1000000088,1,Correo Argentino,DELIVERED,5.5821875
90,20250619,1000000089,1,Correo Argentino,DELIVERED,3.506597222222222
91,20240128,1000000090,1,Correo Argentino,DELIVERED,4.813460648148149
92,20240218,1000000091,3,Correo Argentino,DELIVERED,2.7588773148148147
93,20240614,1000000092,1,Correo Argentino,DELIVERED,2.5738773148148146
94,20241114,1000000093,2,PICKUP,DELIVERED,1.9767476851851853
95,20241227,1000000094,4,PICKUP,SHIPPED,1.1288888888888888
96,20250926,1000000095,4,Correo Argentino,DELIVERED,4.770636574074074
97,20250523,1000000096,3,PICKUP,DELIVERED,1.4470023148148148
98,20240612,1000000097,2,PICKUP,DELIVERED,1.7478472222222223
99,20250117,1000000098,1,Correo Argentino,DELIVERED,5.339664351851852
100,20240228,1000000099,2,Correo Argentino,DELIVERED,4.604953703703703
101,0,1000000100,3,Correo Argentino,CANCELLED,
102,20240331,1000000101,1,Correo Argentino,SHIPPED,5.115046296296296
103,20241120,1000000102,1,Correo Argentino,DELIVERED,4.292164351851852
104,20240325,1000000103,3,PICKUP,READY,1.1624074074074073
105,20240324,1000000104,1,Correo Argentino,DELIVERED,4.8717245370370375
106,20240513,1000000105,3,Correo Argentino,DELIVERED,3.185787037037037
107,20250209,1000000106,1,Correo Argentino,DELIVERED,2.340196759259259
108,20240523,1000000107,1,Correo Argentino,DELIVERED,5.164189814814815
109,20250704,1000000108,4,PICKUP,DELIVERED,1.174837962962963
110,20240422,1000000109,4,PICKUP,DELIVERED,1.3458912037037036
111,0,1000000110,2,PICKUP,CANCELLED,
112,20241221,1000000111,1,Correo Argentino,DELIVERED,4.658113425925926
113,20250228,1000000112,2,PICKUP,SHIPPED,1.7385532407407407
114,0,1000000113,1,PICKUP,CANCELLED,
115,20240917,1000000114,1,PICKUP,SHIPPED,1.337824074074074
116,20240220,1000000115,3,Correo Argentino,DELIVERED,2.033148148148148
117,20240702,1000000116,1,Correo Argentino,DELIVERED,3.433877314814815
118,20250120,1000000117,1,Correo Argentino,DELIVERED,3.9249074074074075
119,20250817,1000000118,3,Correo Argentino,DELIVERED,2.6281481481481483
120,20250716,1000000119,4,PICKUP,DELIVERED,1.4962731481481482
121,20240419,1000000120,1,Correo Argentino,DELIVERED,2.903634259259259
122,20241220,1000000121,4,PICKUP,DELIVERED,1.210925925925926
123,20250830,1000000122,1,PICKUP,DELIVERED,1.6234837962962962
124,0,1000000123,2,Correo Argentino,CANCELLED,
125,20240207,1000000124,1,Correo Argentino,DELIVERED,4.510787037037037
126,20240709,1000000125,3,PICKUP,DELIVERED,1.3445138888888888
127,20240612,1000000126,3,PICKUP,DELIVERED,1.1001157407407407
128,20240229,1000000127,1,Correo Argentino,DELIVERED,4.555104166666666
129,0,1000000128,3,Correo Argentino,CANCELLED,
130,20250918,1000000129,1,Correo Argentino,DELIVERED,3.9338657407407407
131,20250521,1000000130,3,PICKUP,SHIPPED,1.1027430555555555
132,20240125,1000000131,4,PICKUP,DELIVERED,1.1421412037037038
133,20240727,1000000132,1,Correo Argentino,DELIVERED,5.724895833333333
134,20240614,1000000133,2,PICKUP,DELIVERED,1.657337962962963
135,20240106,1000000134,3,PICKUP,DELIVERED,1.087337962962963
136,20240530,1000000135,4,PICKUP,SHIPPED,1.3163310185185184
137,20250121,1000000136,1,Correo Argentino,DELIVERED,4.812546296296296
138,20241116,1000000137,2,Correo Argentino,SHIPPED,5.990347222222222
139,20240104,1000000138,1,Correo Argentino,SHIPPED,4.349756944444445
140,20240407,1000000139,3,Correo Argentino,DELIVERED,5.966076388888889
141,20250217,1000000140,3,PICKUP,DELIVERED,1.9144444444444444
142,20241130,1000000141,1,PICKUP,DELIVERED,1.8919444444444444
143,20250626,1000000142,1,Correo Argentino,DELIVERED,2.5639930555555557
144,20240606,1000000143,1,PICKUP,DELIVERED,1.041435185185185
145,0,1000000144,1,PICKUP,CANCELLED,
146,20250720,1000000145,2,Correo Argentino,DELIVERED,4.616481481481482
147,20240506,1000000146,1,Correo Argentino,DELIVERED,5.078194444444445
148,20241208,1000000147,1,Correo Argentino,DELIVERED,5.891064814814815
149,20250622,1000000148,1,Correo Argentino,DELIVERED,3.757650462962963
150,20250122,1000000149,1,Correo Argentino,DELIVERED,5.926608796296296
151,20250530,1000000150,4,PICKUP,DELIVERED,1.9728009259259258
152,20240416,1000000151,3,PICKUP,DELIVERED,1.7125462962962963
153,20240108,1000000152,2,PICKUP,DELIVERED,1.0125347222222223
154,0,1000000153,2,PICKUP,CANCELLED,
155,20240701,1000000154,1,PICKUP,SHIPPED,1.5435416666666666
156,20240213,1000000155,2,Correo Argentino,DELIVERED,4.026921296296297
157,20241029,1000000156,2,PICKUP,DELIVERED,1.6375810185185184
158,0,1000000157,3,PICKUP,CANCELLED,
159,20240424,1000000158,1,PICKUP,DELIVERED,1.984675925925926
160,20240715,1000000159,1,Correo Argentino,DELIVERED,5.290555555555556
161,20240613,1000000160,4,PICKUP,DELIVERED,1.4372106481481481
162,20241022,1000000161,2,Correo Argentino,DELIVERED,4.021539351851852
163,20250731,1000000162,4,PICKUP,SHIPPED,1.8472569444444444
164,20240225,1000000163,1,Correo Argentino,DELIVERED,4.437939814814815
165,20250223,1000000164,2,Correo Argentino,DELIVERED,2.262974537037037
166,20250828,1000000165,1,Correo Argentino,DELIVERED,4.338148148148148
167,20250728,1000000166,2,Correo Argentino,DELIVERED,2.860787037037037
168,0,1000000167,4,Correo Argentino,CANCELLED,
169,0,1000000168,1,Correo Argentino,CANCELLED,
170,20240709,1000000169,1,Correo Argentino,DELIVERED,5.8359606481481485
171,20240329,1000000170,4,PICKUP,SHIPPED,1.3386574074074074
